labels,cheo,fakeHospital1,fakeHospital2,hamilton,kingston,london,mt_sinai,nygh,sick_kids,trillium,uhn
date_collected,direct,direct,direct,direct,direct,unavailable,direct,direct,unavailable,direct,direct
date_received,direct,direct,direct,direct,direct,direct,direct,direct,unavailable,direct,direct
date_verified,direct,direct,direct,direct,direct,direct,direct,direct,unavailable,direct,direct
report_type,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval
testing_context,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval
ordering_clinic,direct,unavailable,direct,unavailable,unavailable,direct,direct,direct,unavailable,unavailable,unavailable
testing_laboratory,indirect,indirect,indirect,indirect,indirect,indirect,indirect,indirect,indirect,indirect,indirect
sequencing_scope,no_eval,no_eval,direct,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval
tested_genes,direct,direct,direct,direct,direct,direct,no_eval,direct,direct,direct,direct
gene_symbol,direct,direct,direct,direct,direct,direct,direct,direct,direct,direct,direct
refseq_mrna,direct,unavailable,unavailable,direct,unavailable,unavailable,no_eval,direct,unavailable,unavailable,direct
num_tested_genes,direct,direct,direct,direct,direct,indirect,no_eval,direct,direct,indirect,indirect
sample_type,no_eval,direct,no_eval,no_eval,no_eval,direct,no_eval,no_eval,no_eval,no_eval,no_eval
analysis_type,no_eval,no_eval,direct,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval,no_eval
reference_genome,unavailable,unavailable,direct,unavailable,unavailable,unavailable,unavailable,unavailable,direct,unavailable,direct
variants,direct,direct,direct,direct,direct,direct,direct,direct,direct,direct,direct
variant_id,direct,direct,direct,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
chromosome,unavailable,direct,direct,unavailable,unavailable,unavailable,unavailable,unavailable,direct,unavailable,unavailable
hgvsg,unavailable,unavailable,direct,unavailable,unavailable,unavailable,unavailable,unavailable,direct,unavailable,unavailable
hgvsc,direct,direct,direct,direct,unavailable,direct,direct,direct,direct,direct,direct
hgvsp,direct,direct,direct,direct,unavailable,direct,direct,direct,direct,direct,direct
transcript_id,unavailable,unavailable,unavailable,direct,unavailable,direct,direct,unavailable,direct,direct,direct
exon,unavailable,direct,direct,direct,unavailable,direct,indirect,direct,direct,unavailable,unavailable
zygosity,direct,direct,direct,direct,unavailable,direct,direct,unavailable,direct,direct,direct
interpretation,direct,direct,direct,direct,direct,direct,direct,direct,direct,direct,direct
maf,unavailable,unavailable,direct,unavailable,direct,direct,direct,direct,direct,direct,direct
type,indirect,indirect,indirect,direct,indirect,unavailable,unavailable,indirect,indirect,indirect,indirect
